,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,pisco,-13.7,-76.2167,27.03,69,75,3.09,PE,1676232501
121,okhotsk,59.3833,143.3,-23.62,87,100,5.53,RU,1676232503
122,ajijic,20.3,-103.2833,26.08,39,4,0.49,MX,1676232505
123,severo-kurilsk,50.6789,156.125,-7.98,64,98,2.13,RU,1676232506
124,port elizabeth,-33.918,25.5701,23.39,88,40,6.17,ZA,1676232507
125,lander,42.833,-108.7307,7.33,63,0,1.54,US,1676232508
126,los llanos de aridane,28.6585,-17.9182,14.86,74,20,3.09,ES,1676232421
127,conakry,9.538,-13.6773,26.43,69,0,4.98,GN,1676232509
128,palmer,42.1584,-72.3287,9.58,30,75,0.0,US,1676232511
129,vila velha,-20.3297,-40.2925,28.97,77,20,7.2,BR,1676232513
130,ilulissat,69.2167,-51.1,-23.99,53,0,1.03,GL,1676232453
131,labuhan,-6.8844,112.2051,23.24,93,100,3.55,ID,1676232515
132,hermanus,-34.4187,19.2345,20.45,74,68,2.73,ZA,1676232516
133,mahibadhoo,3.7833,72.9667,26.58,67,12,5.2,MV,1676232519
134,arman,59.7,150.1667,-18.13,94,100,3.08,RU,1676232520
135,bethel,41.3712,-73.414,9.12,42,0,3.6,US,1676232521
136,luanda,-8.8368,13.2343,27.0,79,20,4.63,AO,1676232368
137,hervey bay,-25.2986,152.8535,25.47,86,4,6.42,AU,1676232523
138,micheweni,-4.9667,39.8333,26.85,75,99,7.2,TZ,1676232524
139,jacqueville,5.2052,-4.4146,27.35,85,17,6.21,CI,1676232525
140,pokrovka,42.3414,78.0056,-9.07,53,1,5.02,KG,1676232526
141,adre,13.4667,22.2,23.26,16,4,6.95,TD,1676232527
142,saskylakh,71.9167,114.0833,-38.83,98,49,4.13,RU,1676232497
143,brigantine,39.4101,-74.3646,6.11,85,100,5.14,US,1676232529
144,atbasar,51.8,68.3333,-22.16,100,100,2.78,KZ,1676232530
145,saint-augustin,51.226,-58.6502,-9.52,92,96,3.87,CA,1676232449
146,karasburg,-28.0167,18.75,24.87,35,0,7.13,NA,1676232532
147,tuatapere,-46.1333,167.6833,14.67,81,63,0.57,NZ,1676232448
148,saint-raphael,19.4333,-72.2,25.65,40,3,3.01,HT,1676232533
149,hohhot,40.8106,111.6522,-10.72,60,71,3.4,CN,1676232534
150,qaqortoq,60.7167,-46.0333,-13.75,71,100,1.66,GL,1676232535
151,lamu,-2.2717,40.902,26.12,79,5,7.47,KE,1676232536
152,mount isa,-20.7333,139.5,25.87,57,8,8.23,AU,1676232537
153,bonthe,7.5264,-12.505,25.87,79,0,4.01,SL,1676232538
154,provideniya,64.3833,-173.3,-28.52,92,91,3.04,RU,1676232531
155,kazachinskoye,57.6953,93.2761,-29.32,100,97,0.6,RU,1676232539
156,husavik,66.0449,-17.3389,1.01,75,100,4.1,IS,1676232528
157,ketchikan,55.3422,-131.6461,7.26,87,100,2.57,US,1676232540
158,batouri,4.4333,14.3667,26.43,18,72,0.5,CM,1676232542
159,grindavik,63.8424,-22.4338,8.97,100,75,15.95,IS,1676232543
160,milkovo,54.7167,158.6167,-27.56,98,41,0.77,RU,1676232544
161,illapel,-31.6308,-71.1653,28.0,32,0,4.23,CL,1676232544
162,konza,-1.7426,37.1294,17.21,48,42,5.96,KE,1676232545
163,santa vitoria do palmar,-33.5189,-53.3681,31.17,41,0,6.19,BR,1676232547
164,narsaq,60.9167,-46.05,-16.88,70,100,1.2,GL,1676232496
165,hengshui,37.7322,115.7011,-0.95,95,78,2.85,CN,1676232513
166,bilma,18.6853,12.9164,22.02,21,1,6.65,NE,1676232550
167,paducah,37.0834,-88.6001,13.07,24,0,2.06,US,1676232381
168,cockburn town,21.4612,-71.1419,25.14,75,0,7.71,TC,1676232552
169,qaanaaq,77.484,-69.3632,-32.93,94,56,2.31,GL,1676232553
170,batsfjord,70.6345,29.7185,1.96,93,20,11.83,NO,1676232554
171,kudahuvadhoo,2.6708,72.8944,26.6,68,0,5.26,MV,1676232555
172,naryan-mar,67.6713,53.087,-10.14,93,88,6.22,RU,1676232556
173,santa isabel,-23.3156,-46.2214,23.84,96,100,2.31,BR,1676232557
174,urucara,-2.5364,-57.76,29.65,69,61,1.13,BR,1676232558
175,smithers,54.7804,-127.1743,3.18,93,100,3.6,CA,1676232314
176,chokurdakh,70.6333,147.9167,-34.84,96,100,0.89,RU,1676232561
177,chicama,-7.8447,-79.1469,26.3,67,100,3.36,PE,1676232562
178,hanko,59.8333,22.95,1.66,93,100,10.28,FI,1676232564
179,kamenka,51.3223,42.7678,-7.36,97,99,3.04,RU,1676232564
180,erenhot,43.6475,111.9767,-10.81,51,0,2.78,CN,1676232565
181,egvekinot,66.3167,-179.1667,-25.64,86,100,4.2,RU,1676232566
182,omsukchan,62.5333,155.8,-32.1,100,100,1.5,RU,1676232567
183,mattru,7.6244,-11.8332,26.56,69,0,2.79,SL,1676232569
184,inhambane,-23.865,35.3833,26.13,89,95,5.59,MZ,1676232571
185,talnakh,69.4865,88.3972,-12.8,92,100,6.96,RU,1676232572
186,montanha,-18.1269,-40.3633,26.88,71,100,4.82,BR,1676232573
187,terrace bay,48.7834,-87.1,-0.38,95,99,1.0,CA,1676232576
188,winslow,35.0242,-110.6974,9.1,34,0,2.06,US,1676232577
189,san quintin,30.4833,-115.95,13.44,63,99,4.31,MX,1676232578
190,hobyo,5.3505,48.5268,24.7,74,29,8.12,SO,1676232579
191,upernavik,72.7868,-56.1549,-25.6,93,100,2.91,GL,1676232482
192,auki,-8.7676,160.7034,25.74,87,100,2.38,SB,1676232584
193,cap malheureux,-19.9842,57.6142,24.7,69,10,0.89,MU,1676232585
194,yumen,40.2833,97.2,-4.59,45,100,2.5,CN,1676232586
195,laguna,38.421,-121.4238,20.05,48,0,5.14,US,1676232587
196,margate,51.3813,1.3862,7.17,76,0,1.34,GB,1676232548
197,makhachkala,42.9764,47.5024,-2.01,88,19,1.81,RU,1676232588
198,hilo,19.7297,-155.09,20.53,94,100,4.63,US,1676232359
199,airai,-8.9266,125.4092,15.13,95,99,1.3,TL,1676232590
200,pingliang,35.5392,106.6861,-1.65,94,100,5.81,CN,1676232591
201,havelock,34.8791,-76.9013,17.0,74,40,6.69,US,1676232592
202,savannah bight,16.45,-85.85,26.01,67,9,3.83,HN,1676232593
203,fort nelson,58.8053,-122.7002,-3.36,72,100,0.45,CA,1676232594
204,faya,18.3851,42.4509,14.29,41,0,1.58,SA,1676232594
205,fortuna,40.5982,-124.1573,13.29,75,0,0.45,US,1676232595
206,richards bay,-28.783,32.0377,25.85,85,100,5.81,ZA,1676232596
207,arraial do cabo,-22.9661,-42.0278,26.92,83,75,3.09,BR,1676232598
208,tiksi,71.6872,128.8694,-41.54,100,71,1.51,RU,1676232599
209,norsup,-16.0667,167.3833,26.95,86,100,7.45,VU,1676232600
210,sal rei,16.1833,-22.9167,20.78,73,100,6.3,CV,1676232601
211,lavrentiya,65.5833,-171.0,-27.46,90,100,2.68,RU,1676232602
212,devonport,-41.1667,146.35,11.12,73,1,2.49,AU,1676232604
213,sao joao da barra,-21.6403,-41.0511,27.05,88,100,5.51,BR,1676232351
214,evensk,61.95,159.2333,-25.05,91,72,3.55,RU,1676232533
215,alcaniz,41.05,-0.1333,5.23,70,0,1.19,ES,1676232607
216,puerto ayora,-0.7393,-90.3518,30.98,84,95,3.13,EC,1676232608
217,sulina,45.1559,29.6536,0.56,66,5,7.04,RO,1676232609
218,corinto,37.9407,22.9573,9.38,65,50,5.56,GR,1676232611
219,chingirlau,51.095,54.0814,-9.46,89,100,4.95,KZ,1676232612
220,constitucion,-35.3333,-72.4167,19.42,69,18,6.91,CL,1676232613
221,baiyin,36.5583,104.2081,-6.68,88,100,4.48,CN,1676232614
222,mount gambier,-37.8333,140.7667,13.57,65,99,2.7,AU,1676232616
223,nemuro,43.3236,145.575,-3.57,84,97,5.64,JP,1676232595
224,bowen,-20.0167,148.2333,25.43,75,6,2.5,AU,1676232618
225,beloha,-25.1667,45.05,24.07,87,92,5.15,MG,1676232621
226,gikongoro,-2.464,29.5739,15.85,79,100,1.47,RW,1676232622
227,guerrero negro,27.9769,-114.0611,14.65,61,98,3.93,MX,1676232623
228,severomuysk,56.1481,113.4267,-24.02,97,81,3.05,RU,1676232625
229,chifeng,42.2683,118.9636,-8.67,49,0,3.01,CN,1676232626
230,ginda,30.6945,78.4932,2.63,31,0,2.57,IN,1676232627
231,tupik,54.4253,119.9327,-27.16,95,9,1.16,RU,1676232628
232,edzell,56.8095,-2.6549,7.7,90,3,2.51,GB,1676232629
233,yaan,7.3833,8.5667,31.42,10,36,1.76,NG,1676232633
234,tiarei,-17.5333,-149.3333,30.01,78,32,4.72,PF,1676232634
235,condega,13.365,-86.3985,30.39,35,2,7.62,NI,1676232635
236,abnub,27.2696,31.1511,12.2,41,54,3.99,EG,1676232636
237,tiznit,29.5833,-9.5,15.96,31,100,4.05,MA,1676232637
238,vizinga,61.0749,50.1031,-9.27,98,99,1.07,RU,1676232638
239,mayo,38.8876,-76.5119,5.11,86,100,4.12,US,1676232486
240,quatre cocos,-20.2078,57.7625,24.49,71,12,7.2,MU,1676232639
241,montepuez,-13.1256,38.9997,20.58,97,100,2.2,MZ,1676232640
242,faanui,-16.4833,-151.75,27.64,75,83,5.1,PF,1676232641
243,ajdabiya,30.7554,20.2263,12.19,58,8,4.12,LY,1676232642
244,iqaluit,63.7506,-68.5145,-30.73,67,92,3.58,CA,1676232643
245,geraldton,-28.7667,114.6,18.23,82,0,2.06,AU,1676232643
246,labrea,-7.2586,-64.7981,29.08,78,36,0.78,BR,1676232644
247,vao,-22.6667,167.4833,24.63,63,26,8.59,NC,1676232645
248,iranshahr,27.2025,60.6848,19.66,26,88,1.45,IR,1676232646
249,mahebourg,-20.4081,57.7,24.58,71,14,6.85,MU,1676232455
250,iroquois falls,48.7669,-80.6831,-3.1,90,100,1.69,CA,1676232648
251,yerbogachen,61.2767,108.0108,-19.31,99,62,2.41,RU,1676232649
252,bondoukou,8.0333,-2.8,30.89,26,19,1.92,CI,1676232650
253,staroaleyskoye,51.0061,82.0,-18.67,93,36,2.76,RU,1676232651
254,puerto escondido,15.85,-97.0667,28.46,65,20,2.06,MX,1676232383
255,nikolskoye,59.7035,30.7861,1.0,95,100,5.4,RU,1676232559
256,aasiaat,68.7098,-52.8699,-35.28,100,74,1.97,GL,1676232654
257,powell,40.1578,-83.0752,13.0,26,0,2.57,US,1676232478
258,touros,-5.1989,-35.4608,28.26,70,100,6.45,BR,1676232655
259,storsteinnes,69.2408,19.2344,1.36,95,100,15.6,NO,1676232656
260,arlit,18.7369,7.3853,23.77,20,1,4.56,NE,1676232657
261,pundaguitan,6.3711,126.1689,26.42,80,100,3.82,PH,1676232658
262,humboldt,40.6665,-123.9178,8.4,37,7,1.9,US,1676232658
263,ewa beach,21.3156,-158.0072,25.97,63,0,9.77,US,1676232659
264,ponta do sol,32.6667,-17.1,17.35,77,78,2.57,PT,1676232660
265,lagoa,39.05,-27.9833,14.21,70,100,10.79,PT,1676232662
266,kirakira,-10.4544,161.9205,27.24,83,87,2.96,SB,1676232663
267,askarovo,53.3372,58.5089,-17.47,85,40,2.0,RU,1676232664
268,bathsheba,13.2167,-59.5167,28.34,47,20,10.8,BB,1676232588
269,tilichiki,60.4667,166.1,-20.1,93,100,4.24,RU,1676232666
270,calama,-22.4667,-68.9333,24.27,23,20,11.32,CL,1676232667
271,pareora,-44.4871,171.2132,15.66,93,6,4.2,NZ,1676232669
272,deputatskiy,69.3,139.9,-39.3,100,93,0.98,RU,1676232562
273,bairiki,1.3292,172.9752,26.0,94,100,8.75,KI,1676232670
274,bocas del toro,9.3333,-82.25,26.03,78,84,5.69,PA,1676232671
275,necochea,-38.5473,-58.7368,23.79,61,87,5.68,AR,1676232672
276,san carlos,9.6612,-68.5827,35.37,27,63,2.18,VE,1676232673
277,bull savanna,17.8868,-77.5902,26.99,54,0,6.09,JM,1676232674
278,lorengau,-2.0226,147.2712,27.3,81,100,3.48,PG,1676232675
279,walvis bay,-22.9575,14.5053,19.68,78,0,5.19,NA,1676232676
280,sisimiut,66.9395,-53.6735,-27.12,90,12,2.88,GL,1676232678
281,port hardy,50.6996,-127.4199,6.56,93,100,6.22,CA,1676232616
282,maturin,9.75,-63.1767,28.73,56,90,5.31,VE,1676232259
283,san patricio,28.017,-97.5169,19.53,34,100,3.41,US,1676232682
284,yulara,-25.2406,130.9889,27.69,25,18,5.16,AU,1676232683
285,cotonou,6.3654,2.4183,28.07,82,7,4.9,BJ,1676232684
286,phalaborwa,-23.943,31.1411,23.8,86,100,2.91,ZA,1676232685
287,ilheus,-14.7889,-39.0494,27.96,69,1,3.22,BR,1676232686
288,kununurra,-15.7667,128.7333,24.99,94,40,2.06,AU,1676232687
289,pangai,-19.8,-174.35,26.88,83,100,5.69,TO,1676232687
290,havre-saint-pierre,50.2334,-63.5986,-5.8,79,20,8.75,CA,1676232521
291,lebu,-37.6167,-73.65,18.65,69,56,4.46,CL,1676232689
292,tombouctou,20.0,-3.0,27.68,12,100,5.0,ML,1676232690
293,buraydah,26.326,43.975,15.52,29,100,6.66,SA,1676232691
294,dingle,10.9995,122.6711,22.52,94,58,3.31,PH,1676232692
295,jalu,29.0331,21.5482,12.08,46,39,3.88,LY,1676232584
296,lazaro cardenas,17.9583,-102.2,29.49,48,0,5.32,MX,1676232693
297,atalaia,-9.5019,-36.0228,28.28,67,97,5.23,BR,1676232694
298,namibe,-15.1961,12.1522,22.85,74,16,5.21,AO,1676232695
299,kahului,20.8947,-156.47,24.36,81,40,7.72,US,1676232592
300,maralal,1.0968,36.698,15.34,47,1,3.12,KE,1676232697
301,magalia,39.8121,-121.5783,16.75,36,9,1.36,US,1676232698
302,maraa,-1.8333,-65.3667,27.71,85,82,0.84,BR,1676232698
303,port macquarie,-31.4333,152.9167,19.38,91,38,4.42,AU,1676232699
304,zamora,-4.0692,-78.9567,28.58,87,59,1.5,EC,1676232081
305,santiago del estero,-27.7951,-64.2615,42.07,18,0,6.74,AR,1676232696
306,dubbo,-32.25,148.6167,16.07,82,100,4.12,AU,1676232597
307,sept-iles,50.2001,-66.3821,-1.08,59,71,3.58,CA,1676232702
308,salalah,17.0151,54.0924,22.05,56,0,1.54,OM,1676232702
309,springbok,-29.6643,17.8865,19.24,50,0,1.81,ZA,1676232703
310,ayr,55.4627,-4.6339,8.06,76,75,2.06,GB,1676232704
311,port moresby,-9.4431,147.1797,25.41,72,100,2.2,PG,1676232705
312,leshan,29.5623,103.7639,9.27,75,100,2.86,CN,1676232706
313,khani,41.9563,42.9566,-1.24,91,99,1.11,GE,1676232472
314,balkanabat,39.5108,54.3671,4.1,44,98,2.24,TM,1676232708
315,ulaangom,49.9811,92.0667,-21.22,99,100,0.37,MN,1676232709
316,cabo san lucas,22.8909,-109.9124,29.61,22,75,6.69,MX,1676232483
317,santa isabel do rio negro,-0.4139,-65.0192,27.78,86,99,1.03,BR,1676232640
318,tatishchevo,51.6703,45.5953,-3.75,96,100,4.19,RU,1676232711
319,killarney,52.05,-9.5167,7.84,76,85,4.45,IE,1676232712
320,novikovo,51.1537,37.8879,-6.08,87,100,8.51,RU,1676232713
321,krasnoarmeysk,51.0239,45.6969,-3.11,95,100,5.19,RU,1676232714
322,gigmoto,13.7796,124.39,25.06,85,58,4.62,PH,1676232715
323,alta floresta,-9.8756,-56.0861,28.74,76,38,0.68,BR,1676232716
324,novobelokatay,55.7062,58.9549,-13.51,96,100,1.82,RU,1676232717
325,porto novo,6.4965,2.6036,27.81,80,8,3.68,BJ,1676232718
326,beringovskiy,63.05,179.3167,-33.28,93,26,2.93,RU,1676232719
327,leningradskiy,69.3833,178.4167,-26.86,94,100,4.98,RU,1676232720
328,ontario,34.0633,-117.6509,15.78,58,75,3.6,US,1676232720
329,asyut,27.181,31.1837,12.21,42,56,3.88,EG,1676232721
330,gizo,-8.103,156.8419,27.77,76,100,2.62,SB,1676232722
331,serebryansk,49.6925,83.2892,-16.46,97,66,1.58,KZ,1676232723
332,petropavl,54.8753,69.1628,-24.29,100,85,2.1,KZ,1676232724
333,huron,41.1501,-82.5499,11.69,37,10,2.3,US,1676232579
334,jamsa,61.8642,25.19,3.4,83,100,6.47,FI,1676232726
335,broome,42.2506,-75.833,9.38,34,0,0.45,US,1676232727
336,kloulklubed,7.0419,134.2556,25.28,79,79,6.61,PW,1676232728
337,cherskiy,68.75,161.3,-42.12,100,89,1.4,RU,1676232476
338,gujranwala,32.1617,74.1883,9.03,36,0,3.49,PK,1676232730
339,kavieng,-2.5744,150.7967,26.93,77,100,1.21,PG,1676232637
340,roald,62.5833,6.1333,9.63,87,75,11.83,NO,1676232733
341,saint-georges,12.0564,-61.7485,25.19,76,39,8.48,GD,1676232567
342,sapa,5.1544,120.3241,25.71,83,99,2.63,PH,1676232735
343,tambura,5.6,27.4667,28.33,25,29,2.23,SS,1676232736
344,burnie,-41.0667,145.9167,11.08,72,2,3.67,AU,1676232737
345,san luis,-33.295,-66.3356,37.55,21,0,8.05,AR,1676232523
346,alghero,40.5589,8.3181,5.05,100,0,1.54,IT,1676232740
347,henties bay,-22.116,14.2845,19.25,83,0,3.66,NA,1676232741
348,kashi,39.4547,75.9797,-1.91,51,1,1.86,CN,1676232742
349,batemans bay,-35.7167,150.1833,18.39,85,100,3.07,AU,1676232658
350,shingu,33.7333,135.9833,10.34,92,100,0.94,JP,1676232746
351,lucea,18.451,-78.1736,27.7,64,1,4.12,JM,1676232748
352,mackenzie,55.2999,-123.1698,1.12,93,100,8.23,CA,1676232611
353,toritama,-8.0067,-36.0567,29.48,51,100,6.24,BR,1676232750
354,aykhal,66.0,111.5,-28.74,100,45,2.43,RU,1676232750
355,russell,32.3502,-85.1999,8.0,76,100,7.72,US,1676232752
356,prince rupert,54.3161,-130.3201,7.05,93,100,4.63,CA,1676232595
357,ambilobe,-13.2,49.05,23.35,93,96,0.71,MG,1676232753
358,kiama,-34.6833,150.8667,19.1,92,100,0.89,AU,1676232751
359,mananara,-16.1667,49.7667,23.15,93,12,2.13,MG,1676232756
360,mezen,65.8522,44.24,-10.26,94,100,4.85,RU,1676232757
361,odweyne,9.4092,45.064,19.59,56,0,2.02,SO,1676232757
362,matara,5.9485,80.5353,24.49,84,74,2.2,LK,1676232563
363,shimoda,34.6667,138.95,10.61,86,100,4.14,JP,1676232573
364,bucerias,20.75,-105.3333,27.99,51,40,4.12,MX,1676232759
365,aklavik,68.2191,-135.0107,-32.37,96,100,0.12,CA,1676232659
366,mawlaik,23.6333,94.4167,15.51,56,0,0.55,MM,1676232761
367,budogoshch,59.2816,32.4707,-2.21,96,100,5.29,RU,1676232762
